Description,Category
Zomato Order,Food
Swiggy Food Delievery,Food
Netflix Subscription,Entertainment
Uber Ride,Transport
Amazon Shopping,Shopping
Flipkart Purchase,Shopping
Monthly Salary,Income
Credited from Employer,Income
Electricity Bill,Utilities
Water Gas Bill,Utilities
Fuel Petrol Pump,Transport
Diesel Refill,Transport
Grocery Store purchase,Groceries
SuperMart,Groceries
Spotify Premium,Entertainment
Cafe Coffee Day,Food
ola Ride,Transport
Mobile Recharge,Utilities
Hotstar Subscription,Entertainment
Myntra Order,Shopping
Starbucks Coffee,Food
Apple Music Subscription,Entertainment
Big Bazzar Shopping,Shopping
Shell Fuel Station,Transport
Jio Mobile Bill,Utilities
Received Bonus Payment,Income
Zudio Clothes,Shopping
Domino's Pizza,Food
BookMyShow Tickets,Entertainment
Bus Ticket,Transport
Zara Clothes,Shopping
H&M Clothes,Shopping
Nayara Fuel Station,Transport
Rapido Ride,Transport
Ajio Watch,Shopping
Ethod Watch,Shopping
Go Karting,Entertainment
FunCity Bowling,Entertainment
Burger King,Food
Prime Video,Entertainment
Gas Bill,Utilities
Croma ,Shopping
